Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Población;Total votantes;Votos en blanco;Votos nulos;PSOE;AP-PDP;UCD;PCE;CIU;CDS;EAJ-PNV;HB;ERC;FN;PST;EE;PSA-PA;PCC;B-PSG;UPC;NE;SE;EU;PCOE;CC;UCE;PCE (M-L);EG;AC-CC;UPV;CUC;EUPV;MFE;AEBA;PSM;PSA;ENV-URV;PS;AEGI;LC (COSI);CE-FCC;FIC;PNC;PREPAL;CoCa;FE-JONS;PADL;IDG;PRE;FE-I;PNCti;ACI;MCATE;LCR-MC;PDB;ASDC;IR;FA;PC;PAE;PP;CIR;PCU;EM;BIA
Andalucía;4;Almería;410395;212232;1393;4670;119903;48280;23294;5504;0;3666;0;0;0;1251;0;0;2558;0;0;0;0;351;0;0;0;323;328;0;0;0;476;0;235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía;11;Cádiz;982138;492509;1421;7880;308571;97314;22728;20749;0;8473;0;0;0;1209;3474;0;16654;0;0;0;0;902;0;1753;0;531;498;0;0;0;0;0;352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía;14;Córdoba;710193;434272;5264;8875;243428;90023;28414;37555;0;5358;0;0;0;1556;1886;0;9270;0;0;0;0;489;0;956;0;285;175;0;0;0;473;0;0;0;0;0;0;0;0;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía;18;Granada;757536;409109;1079;3905;234154;97554;27897;28636;0;7276;0;0;0;2029;0;0;4939;0;0;0;0;454;0;0;0;249;252;0;0;0;369;0;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía;21;Huelva;413100;223070;563;3019;139420;45755;17174;7976;0;3003;0;0;0;696;812;0;3752;0;0;0;0;259;0;0;0;266;0;0;0;0;238;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía;23;Jaén;638807;367372;604;3651;207754;83833;32456;26829;0;3363;0;0;0;1789;986;0;4750;0;0;0;0;211;0;0;0;214;0;0;0;0;425;0;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222;0;0;0;0;0
Andalucía;29;Málaga;1003234;513801;1401;5541;315092;118369;19435;26935;0;7637;0;0;0;1298;2420;0;11770;0;0;0;0;929;0;1333;0;331;323;0;0;0;509;0;315;0;0;0;0;0;0;55;0;0;0;0;0;22;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0
Andalucía;41;Sevilla;1476713;813317;2271;12322;496543;176054;30004;57272;0;5775;0;0;0;2227;2568;0;23375;0;0;0;0;718;0;2017;0;335;520;0;0;0;0;0;376;0;0;0;0;0;0;599;0;0;0;0;0;0;0;0;0;341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón;22;Huesca;213232;135567;827;5080;63103;33945;19234;3314;0;6375;0;0;0;407;624;0;0;0;0;0;0;0;0;0;0;300;242;0;0;0;0;0;0;0;0;2116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón;44;Teruel;152597;96545;627;1767;38834;31779;15570;1124;0;4472;0;0;0;975;399;0;0;0;0;0;0;0;0;0;0;148;125;0;0;0;0;0;99;0;0;626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
