Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Población;Total votantes;Votos en blanco;Votos nulos;PP;PSOE;C's;PODEMOS;EN COMÚ;IU-UPeC;PODEMOS-COM;ERC-CATSI;DL;PODEMOS-En;EAJ-PNV;PACMA;EH Bildu;UPYD;CCa-PNC;NÓS;unio.cat;VOX;RECORTES CE;MÉS;PCPE;GBAI;EL PI;CCD;EB;FE de las J;X LA IZQUIE;SOMVAL;PUM+J;SAIn;CENTRO MODE;PT;CANARIAS DE;P-LIB;PH;ARAPV;EU-eX;PCOE;DN;IFem;PREPAL;EN POSITIU;CILUS;CRA;Ln;AVANT;mlgXSÍ;PFyV;AJU;Independien;FDEE;SOLUCIONA;JS,PC;+MAS+;PLD;OE         
Andalucía;11;Cádiz;1240175;652400;6781;5863;179319;180895;94962;130734;0;38881;0;0;0;0;0;7591;0;3637;0;0;0;1493;1042;0;780;0;0;0;0;0;0;0;0;0;0;0;0;422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía;14;Córdoba;799402;472696;4481;5044;142101;149851;55812;68740;0;37650;0;0;0;0;0;3529;0;2069;0;0;0;0;605;0;876;0;0;0;631;494;0;0;0;0;0;0;0;0;0;0;0;813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía;04;Almería;704523;312315;2211;2419;117635;89434;44494;39780;0;10828;0;0;0;0;0;2126;0;1532;0;0;0;558;297;0;318;0;0;0;0;343;0;0;176;0;0;0;0;0;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía;23;Jaén;659033;391386;2713;3886;121984;148511;41398;48640;0;16771;0;0;0;0;0;2543;0;1287;0;0;0;715;371;0;469;0;0;0;0;0;0;0;0;198;0;0;0;0;0;0;0;0;0;0;0;0;1189;0;0;0;0;0;711;0;0;0;0;0;0;0
Andalucía;18;Granada;920088;514478;3442;4235;158693;158027;70845;83650;0;26022;0;0;0;0;0;3843;0;2697;0;0;0;1245;638;0;696;0;0;0;0;0;0;0;445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía;29;Málaga;1623117;783158;5724;6594;224745;208896;132586;132980;0;52772;0;0;0;0;0;8886;0;4522;0;0;0;1817;974;0;1029;0;0;0;0;0;0;0;0;0;0;0;0;290;0;0;0;0;0;0;0;0;0;0;0;0;934;0;0;0;0;409;0;0;0;0
Andalucía;41;Sevilla;1941355;1105238;9968;11217;275463;371142;142574;208408;0;62309;0;0;0;0;0;9976;0;6421;0;0;0;2717;1413;0;893;0;0;0;0;989;0;0;0;0;0;0;0;652;0;0;0;1096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía;21;Huelva;519229;262151;2409;3061;74353;95637;30776;39435;0;11786;0;0;0;0;0;2385;0;1014;0;0;0;460;336;0;307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón;44;Teruel;140365;78784;883;1082;28282;19938;11427;11895;0;3897;0;0;0;0;0;375;0;456;0;0;0;0;139;0;97;0;0;0;313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón;50;Zaragoza;960111;537626;4657;3894;161662;118936;95130;102596;0;34869;0;0;0;0;0;4057;0;4514;0;0;0;1849;1088;0;845;0;0;0;2967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;562;0;0;0;0;0;0
Aragón;22;Huesca;224909;123297;1251;1152;39747;30183;19789;21943;0;6433;0;0;0;0;0;792;0;833;0;0;0;0;249;0;257;0;0;0;554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;0
Principado de Asturias;33;Asturias;1061756;628200;5591;5233;187568;145113;84464;132984;0;52583;0;0;0;0;0;4555;0;3855;0;0;0;1715;1038;0;1240;0;0;0;1869;0;0;0;0;0;0;0;0;0;392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Illes Balears;07;Illes Balears;1103442;488666;3997;4696;140640;88635;71551;111628;0;11451;0;0;0;0;0;5114;0;2276;0;0;0;0;1177;33877;0;0;12910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714;0;0;0;0;0;0;0;0
Canarias;38;Santa Cruz de Tenerife;1004788;483294;3151;5365;138203;102892;50257;94936;0;15716;0;0;0;0;0;6537;0;2117;60129;0;0;772;1182;0;759;0;0;0;0;0;0;0;0;0;0;0;1278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canarias;35;Las Palmas;1100027;523637;4111;7535;145372;115521;63385;136583;0;15262;0;0;0;0;0;5351;0;2564;21788;0;0;774;1478;0;953;0;0;0;0;0;0;0;616;300;0;0;1605;0;439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cantabria;39;Cantabria;588656;353975;2849;3904;129216;78460;53371;62569;0;15488;0;0;0;0;0;2943;0;2875;0;0;0;901;529;0;461;0;0;0;0;0;0;0;0;173;0;0;0;0;236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha;19;Guadalajara;255426;137830;979;1562;47365;30685;24603;23827;0;5628;0;0;0;0;0;1152;0;1026;0;0;0;645;283;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha;02;Albacete;396987;233882;1727;2300;85241;65205;33755;32320;0;9306;0;0;0;0;0;1583;0;1146;0;0;0;538;305;0;251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;0
Castilla - La Mancha;13;Ciudad Real;519613;299003;2282;3427;113451;91959;36477;36879;0;9834;0;0;0;0;0;1949;0;1625;0;0;0;560;386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha;45;Toledo;699136;390379;2325;4881;149442;106988;53199;52587;0;13590;0;0;0;0;0;3039;0;1901;0;0;0;1509;612;0;306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha;16;Cuenca;207449;122477;931;1382;50736;37019;13049;14113;0;3628;0;0;0;0;0;537;0;464;0;0;0;356;165;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León;24;León;484694;295812;2943;3411;104077;74128;37902;51441;0;13997;0;0;0;0;0;1838;0;2047;0;0;0;745;482;0;534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;313;0;922;0;0;1032;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León;49;Zamora;185432;114703;1227;1534;48160;25985;14608;15865;0;5514;0;0;0;0;0;502;0;747;0;0;0;0;187;0;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León;47;Valladolid;529157;331631;2683;2886;121323;70879;56347;50204;0;17935;0;0;0;0;0;1735;0;2940;0;0;0;1230;489;0;429;0;0;1579;0;411;0;0;0;272;0;0;0;0;0;0;0;0;289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León;09;Burgos;366900;218037;2049;2250;82037;44640;33558;36818;0;10171;0;0;0;0;0;1431;0;2356;0;0;0;926;452;0;507;0;0;0;0;0;0;0;0;501;0;0;0;0;0;0;0;0;0;341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León;42;Soria;92221;52483;679;647;20030;12331;7872;8328;0;1836;0;0;0;0;0;192;0;327;0;0;0;0;86;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León;40;Segovia;159303;93139;903;1303;36182;19769;15665;13144;0;3742;0;0;0;0;0;517;0;1274;0;0;0;0;227;0;190;0;0;0;0;223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León;34;Palencia;167609;105955;993;1277;42182;25698;14814;14083;0;4699;0;0;0;0;0;624;0;828;0;0;0;0;159;0;126;0;0;0;182;218;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León;37;Salamanca;342459;211743;1997;2276;89375;45593;35242;25743;0;7017;0;0;0;0;0;1175;0;1669;0;0;0;822;319;0;264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León;05;Ávila;167015;103251;744;1234;47072;20254;15971;11951;0;3905;0;0;0;0;0;519;0;908;0;0;0;330;125;0;0;0;0;0;0;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña;25;Lleida;438001;200496;2124;1827;22360;24668;17897;0;30538;0;0;44317;48289;0;0;1743;0;687;0;0;4867;465;398;0;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña;08;Barcelona;5523784;2873383;18119;14976;321980;464588;387061;0;768235;0;0;414163;378723;0;0;34394;0;6595;0;0;48326;0;10730;0;5493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña;43;Tarragona;800962;376484;2684;3324;45619;58922;53152;0;77036;0;0;65272;57071;0;0;4170;0;686;0;0;6324;0;894;0;705;0;0;0;625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
